#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5, 37.510000, 15.100000, 15.080000, 15.490000, 15.150000
10, 54.430000, 29.870000, 28.670000, 29.150000, 29.310000
15, 64.610000, 44.210000, 41.390000, 40.630000, 42.660000
20, 73.610000, 56.380000, 51.350000, 50.650000, 54.100000
25, 77.990000, 67.150000, 59.030000, 59.680000, 64.080000
30, 81.360000, 75.210000, 65.660000, 65.490000, 71.960000
35, 85.180000, 80.460000, 70.210000, 70.260000, 77.380000
40, 86.560000, 83.530000, 74.440000, 74.420000, 81.690000
45, 88.050000, 85.790000, 77.700000, 78.120000, 84.460000
50, 89.470000, 87.280000, 81.110000, 80.780000, 86.590000
55, 90.490000, 88.700000, 83.950000, 83.710000, 88.730000
60, 91.640000, 90.360000, 86.250000, 85.490000, 90.390000
65, 92.670000, 91.730000, 88.180000, 88.470000, 91.700000
70, 94.040000, 92.820000, 89.800000, 90.410000, 92.860000
75, 95.290000, 94.390000, 92.320000, 92.040000, 94.210000
80, 96.200000, 95.540000, 93.510000, 93.860000, 95.140000
85, 97.170000, 96.610000, 95.310000, 95.660000, 96.630000
90, 98.270000, 97.760000, 97.160000, 97.010000, 97.810000
95, 99.240000, 98.900000, 98.610000, 98.530000, 98.840000
100, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
