#cache, OPT, LRU, FIFO, RAND, CLOCK
0, 0, 0, 0, 0, 0
5, 21.520000, 4.990000, 4.880000, 4.980000, 4.830000
10, 33.200000, 9.880000, 10.050000, 10.140000, 10.040000
15, 41.200000, 15.120000, 15.000000, 15.470000, 15.080000
20, 47.470000, 20.240000, 20.050000, 19.560000, 20.150000
25, 52.870000, 25.230000, 25.000000, 24.660000, 25.230000
30, 57.380000, 30.040000, 29.890000, 30.570000, 30.010000
35, 61.640000, 35.100000, 35.010000, 35.250000, 34.940000
40, 65.530000, 40.030000, 40.150000, 38.990000, 40.120000
45, 68.820000, 45.190000, 44.980000, 44.660000, 45.290000
50, 72.340000, 50.330000, 50.570000, 50.470000, 50.130000
55, 75.560000, 55.080000, 55.100000, 55.560000, 54.950000
60, 78.650000, 60.030000, 59.870000, 60.560000, 60.170000
65, 81.640000, 65.380000, 64.870000, 65.600000, 65.400000
70, 84.420000, 70.060000, 69.790000, 70.490000, 70.000000
75, 87.180000, 74.870000, 75.220000, 74.980000, 75.060000
80, 89.880000, 79.410000, 79.390000, 79.560000, 80.000000
85, 92.360000, 84.620000, 84.900000, 85.390000, 84.680000
90, 94.790000, 89.560000, 90.720000, 90.090000, 89.410000
95, 97.460000, 94.880000, 95.110000, 95.320000, 94.830000
100, 100.000000, 100.000000, 100.000000, 100.000000, 100.000000
